region_id;parent_id;regionname;cityname;code;stat;timezone;active;lat;lon;en_regionname;en_cityname;es_regionname;es_cityname;de_regionname;de_cityname;it_regionname;it_cityname;fr_regionname;fr_cityname
3054;13;;Суземка;;0.000000;Europe/Moscow;0;52.312239;34.064315;Suzemka;;Suzemka;;Susemka;;Suzemka;;Suzemka;
563;20;;Суздаль;;0.000000;Europe/Moscow;0;56.412987;40.447569;Suzdal;;Súzdal;;Susdal;;Suzdal';;Souzdal;
5218;372;;Сузак;;0.000000;Asia/Almaty;0;44.140278;68.475000;Suzak;;Suzak;;Suzak;;Suzak;;Suzak;
3115;20;;Судогда;;0.000000;Europe/Moscow;0;55.953370;40.864577;Sudogda;;Súdogda;;Sudogda;;Sudogda;;Soudogda;
3486;52;;Судиславль;;0.000000;Europe/Moscow;0;57.877693;41.706740;Sudislavl;;Sudislavl;;Sudislawl;;Sudislavl';;Soudislavl;
3564;57;;Суджа;;0.000000;Europe/Moscow;0;51.191268;35.271192;Sudzha;;Sudzha;;Sudscha;;Sudža;;Soudja;
2192;256;;Судак;;0.000000;Europe/Simferopol;0;44.850122;34.978098;Sudak;;Sudak;;Sudak;;Sudak;;Soudak;
3577;12;;Суг-Аксы;;0.000000;Asia/Krasnoyarsk;0;51.400491;91.277679;Sug-Aksy;;Sug-Aksy;;Sug-Aksy;;Sug-Aksy;;Soug-Aksy;
2615;127;;Суворов;;0.000000;Europe/Moscow;0;54.120084;36.500971;Suvorov;;Suvórov;;Suworow;;Suvorov;;Souvorov;
2207;89;;Сува;;0.000000;Pacific/Fiji;0;-18.050000;178.567000;Suva;;Suva;;Suva;;Suva;;Suva;
4952;339;;Су-Фолс;;0.000003;America/Chicago;1;43.541850;-96.733310;Sioux Falls;;Sioux Falls;;Sioux Falls;;Sioux Falls;;Sioux Falls;
4897;312;;Стэмфорд;;0.000000;America/New_York;0;41.053400;-73.538700;Stamford;;Stamford;;Stamford;;Stamford;;Stamford;
777;70;;Ступино;;0.000000;Europe/Moscow;0;54.873078;38.135031;Stupino;;Stúpino;;Stupino;;Stupino;;Stoupino;
4523;268;;Стрый;;0.000000;Europe/Uzhgorod;0;49.259000;23.841000;Stryi;;Stryi;;Stryj;;Stryj;;Stryï;
3114;20;;Струнино;;0.000000;Europe/Moscow;0;56.376812;38.573715;Strunino;;Strunino;;Strunino;;Strunino;;Strounino;
3857;100;;Струги-Красные;;0.000000;Europe/Moscow;0;58.273014;29.110169;Strugi-Krasnye;;Strugi Krasnye;;Strugi Krasnyje;;Strugi Krasnye;;Strougui-Krasnye;
3005;8;;Строитель;;0.000000;Europe/Moscow;0;50.788665;36.484007;Stroitel;;Stroitel;;Stroitel;;Stroitel';;Stroïtel;
947;126;;Стрежевой;;0.000000;Asia/Tomsk;0;60.732462;77.587279;Strezhevoy;;Strezhevoy;;Streschewoi;;Streževoj;;Strejevoï;
4219;191;Страшенский район;Страшены;;0.000021;Europe/Chisinau;1;47.156105;28.628998;Straseni;Straseni District;Straseni;Distrito de Straseni;Straseni;;Strășeni;;Straseni;
2259;47;;Страсбург;;0.000000;Europe/Paris;0;48.579788;7.739413;Strasbourg;;Estrasburgo;;Straßburg;;Strasburgo;;Strasbourg;
4758;281;;Сторожинец;;0.000000;Europe/Uzhgorod;0;48.158000;25.716000;Storozhynets;;Storozhinets;;Storoschynez;;Storožynec';;Storojynets;
5052;285;;Столбцы;;0.000000;Europe/Minsk;0;53.483333;26.733333;Stowbtsy;;Stowbtsy;;Stowbtsy;;Stoŭbcy;;Stowbtsy;
4818;308;;Стоктон;;0.000000;America/Los_Angeles;0;37.958000;-121.290280;Stockton;;Stockton;;Stockton;;Stockton;;Stockton;
5413;50;;Стокпорт;;0.000000;Europe/London;0;53.405190;-2.156750;Stockport;;Stockport;;Stockport;;Stockport;;Stockport;
2310;48;;Стокгольм;;0.000000;Europe/Stockholm;0;59.359286;18.007680;Stockholm;;Estocolmo;;Stockholm;;Stoccolma;;Stockholm;
5412;50;;Сток-он-Трент;;0.000000;Europe/London;0;53.002950;-2.182120;Stoke-on-Trent;;Stoke-on-Trent;;Stoke-on-Trent;;Stoke-on-Trent;;Stoke-on-Trent;
434;134;;Стерлитамак;;0.000469;Asia/Yekaterinburg;1;53.654662;55.949156;Sterlitamak;;Sterlitamak;;Sterlitamak;;Sterlitamak;;Sterlitamak;
4967;318;;Стерлинг-Хейтс;;0.000000;America/Detroit;0;42.580370;-83.030400;Sterling Heights;;Sterling Heights;;Sterling Heights;;Sterling Heights;;Sterling Heights;
2747;134;;Стерлибашево;;0.000000;Asia/Yekaterinburg;0;53.438775;55.263572;Sterlibashevo;;Sterlibashevo;;Sterlibaschewo;;Sterlibaševo;;Sterlibashevo;
4048;379;;Степняк;;0.000000;Asia/Almaty;0;52.834774;70.852510;Stepnyak;;Stepnyak;;Stepnyak;;Stepnyak;;Stepnyak;
2494;114;;Степное;;0.000000;Europe/Moscow;0;44.270112;44.589625;Stepnoye;;Stepnoye;;Stepnoje;;Stepnoye;;Stepnoïe;
4018;109;;Степное;;0.000000;Europe/Saratov;0;51.375624;46.843530;Stepnoye;;Stepnoye;;Stepnoje;;Stepnoe;;Stepnoïe;
382;379;;Степногорск;;0.000490;Asia/Almaty;1;52.309432;71.908427;Stepnogorsk;;Stepnogorsk;;Stepnogor;;Stepnogorsk;;Stepnogorsk;
4522;268;;Стебник;;0.000000;Europe/Uzhgorod;0;49.300000;23.539000;Stebnyk;;Stebnyk;;Stebnyk;;Stebnyk;;Stebnyk;
4499;267;;Стаханов;;0.000000;Europe/Zaporozhye;0;48.566000;38.650000;Stakhanov;;Stajánov;;Stachanow;;Stakhanov;;Stakhanov;
